Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Dezembro,"3,3","8,1","7,8","6,1","7,1","6,1","7,1"
2010,,,,,,,
  Janeiro,"3,3","7,9","7,2","6,4","7,0","6,0","7,2"
  Fevereiro,"3,5","8,0","8,7","6,4","7,6","6,4","7,5"
  Março,"3,5","7,2","7,8","6,7","7,0","6,6","7,5"
  Abril,"3,4","7,5","8,7","6,2","6,8","6,5","7,3"
  Maio,"3,5","7,7","8,1","6,3","7,0","6,7","7,2"
  Junho,"3,4","8,2","8,0","6,1","6,9","6,4","7,2"
  Julho,"3,6","8,1","8,7","6,2","7,4","6,7","7,6"
  Agosto,"3,3","7,6","8,9","5,9","7,1","6,4","7,3"
  Setembro,"3,4","7,9","8,5","6,5","7,1","6,5","8,0"
  Outubro,"3,6","7,9","10,2","6,4","7,7","7,1","7,5"
  Novembro,"3,5","9,6","9,2","6,0","7,6","6,5","7,8"
  Dezembro,"3,5","7,4","8,4","6,8","7,8","6,7","7,5"
2011,,,,,,,
  Janeiro,"3,5","7,3","9,1","6,7","8,0","6,6","7,4"
  Fevereiro,"3,3","8,0","9,5","6,6","8,0","6,0","7,4"
  Março,"3,3","7,2","8,9","6,1","7,3","6,4","7,7"
  Abril,"3,3","8,1","8,0","6,1","7,5","6,0","7,3"
  Maio,"3,4","7,8","8,2","6,2","7,7","6,3","7,5"
  Junho,"3,6","7,9","8,4","6,7","8,0","6,6","7,1"
  Julho,"3,7","8,3","8,6","6,4","8,8","6,7","6,9"
  Agosto,"3,7","8,2","9,7","7,2","8,4","6,4","7,6"
  Setembro,"3,7","9,1","9,2","6,9","8,7","6,5","7,2"
  Outubro,"3,6","8,2","9,4","6,5","8,2","6,6","7,8"
  Novembro,"3,5","8,4","9,1","6,4","7,4","6,4","6,8"
  Dezembro,"3,5","7,8","11,6","6,0","7,1","6,7","7,4"
2012,,,,,,,
  Janeiro,"3,4","8,2","10,1","6,2","7,3","6,5","7,3"
  Fevereiro,"3,5","8,2","12,3","6,2","7,3","6,5","7,5"
  Março,"3,5","7,4","10,7","6,6","7,4","6,8","7,7"
  Abril,"3,5","8,1","10,7","6,7","7,6","6,6","7,7"
  Maio,"3,7","8,2","10,8","6,1","7,7","7,0","7,2"
  Junho,"3,8","8,0","9,7","6,2","8,0","7,3","9,3"
  Julho,"3,9","7,1","10,7","6,3","8,2","7,5","9,3"
  Agosto,"3,9","7,8","11,8","6,7","7,9","7,6","7,7"
  Setembro,"3,7","7,3","10,2","6,4","8,0","6,8","7,2"
  Outubro,"3,7","7,7","9,2","6,5","7,9","7,1","7,0"
  Novembro,"3,8","9,2","8,9","6,2","7,6","7,3","7,4"
  Dezembro,"3,6","8,0","9,8","6,3","7,6","6,9","7,1"
2013,,,,,,,
  Janeiro,"3,7","8,7","10,3","6,6","7,5","7,2","7,8"
  Fevereiro,"3,8","8,8","10,5","7,6","7,3","7,2","8,0"
  Março,"3,8","8,2","10,0","6,6","7,2","7,6","7,9"
  Abril,"3,8","8,4","10,2","6,4","7,4","7,4","7,7"
  Maio,"3,6","8,4","10,2","6,4","7,6","7,2","7,9"
  Junho,"3,5","7,7","9,5","7,2","7,2","7,0","8,6"
  Julho,"3,8","8,1","8,9","6,9","7,7","7,4","8,2"
