Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Outubro,"1,1","3,0","2,9","2,4","2,3","2,0","2,8"
  Novembro,"1,1","3,1","3,0","2,3","2,3","2,0","2,8"
  Dezembro,"1,1","2,9","2,8","2,3","2,3","1,9","2,8"
2011,,,,,,,
  Janeiro,"1,1","3,1","2,9","2,3","2,2","1,8","2,7"
  Fevereiro,"1,1","3,0","2,9","2,2","2,3","1,8","2,8"
  Março,"1,1","3,0","2,9","2,2","2,3","1,8","2,7"
  Abril,"1,1","3,1","2,9","2,1","2,3","1,8","2,8"
  Maio,"1,1","3,1","3,0","2,2","2,3","1,9","2,9"
  Junho,"1,1","2,8","3,0","2,2","2,4","1,9","2,8"
  Julho,"1,1","3,0","3,1","2,2","2,2","1,9","2,8"
  Agosto,"1,1","2,8","2,9","2,3","2,2","1,9","2,7"
  Setembro,"1,1","3,0","2,8","2,2","2,2","1,9","2,7"
  Outubro,"1,0","2,9","2,6","2,2","2,1","1,9","2,8"
  Novembro,"1,1","3,1","2,7","2,2","2,2","1,8","2,8"
  Dezembro,"1,0","2,9","2,8","2,1","2,1","1,8","2,8"
2012,,,,,,,
  Janeiro,"1,0","2,8","2,8","2,1","2,1","1,7","2,7"
  Fevereiro,"1,0","2,9","2,8","2,1","2,2","1,7","2,8"
  Março,"1,0","2,8","2,9","2,1","2,2","1,8","2,8"
  Abril,"1,1","2,9","2,8","2,1","2,2","1,8","2,7"
  Maio,"1,1","2,9","2,9","2,1","2,2","1,8","2,8"
  Junho,"1,1","2,8","2,8","2,1","2,1","1,9","2,8"
  Julho,"1,0","2,8","3,0","2,1","2,1","1,8","2,9"
  Agosto,"1,0","2,9","2,9","2,1","2,0","1,8","2,8"
  Setembro,"1,0","2,7","2,8","2,0","2,0","1,8","2,8"
  Outubro,"1,0","2,7","2,5","2,0","2,0","1,8","2,8"
  Novembro,"1,0","2,8","2,7","2,1","2,0","1,9","2,7"
  Dezembro,"1,0","2,8","2,6","2,0","2,0","1,8","2,6"
2013,,,,,,,
  Janeiro,"1,0","2,6","2,7","2,0","2,0","1,7","2,6"
  Fevereiro,"1,0","2,6","2,6","2,0","2,1","1,7","2,6"
  Março,"1,0","2,5","2,6","2,1","2,1","1,7","2,5"
  Abril,"1,0","2,6","2,5","2,1","2,1","1,8","2,4"
  Maio,"1,0","2,5","2,7","2,0","2,1","1,7","2,7"
  Junho,"1,0","2,7","2,7","2,0","2,0","1,8","2,8"
  Julho,"1,0","2,7","2,6","2,0","1,9","1,8","2,7"
  Agosto,"1,0","2,6","2,6","2,0","1,9","1,7","2,5"
  Setembro,"1,0","2,7","2,6","2,1","1,8","1,7","2,6"
  Outubro,"0,9","2,6","2,5","1,9","1,9","1,7","2,5"
  Novembro,"1,0","2,6","2,5","1,9","1,9","1,7","2,6"
  Dezembro,"1,0","2,7","2,5","1,9","1,9","1,7","2,5"
2014,,,,,,,
  Janeiro,"0,9","2,5","2,4","1,9","1,9","1,7","2,5"
  Fevereiro,"0,9","2,8","2,5","2,0","1,8","1,6","2,5"
  Março,"1,0","2,5","2,7","2,0","1,8","1,7","2,5"
  Abril,"1,0","2,7","2,7","1,9","1,8","1,7","2,5"
  Maio,"1,0","2,6","2,5","1,9","2,1","1,7","2,5"
  Junho,"1,0","2,5","2,4","2,0","1,9","1,7","2,6"
  Julho,"0,9","2,6","2,5","1,9","1,8","1,6","2,6"
  Agosto,"0,9","2,6","2,5","2,0","1,9","1,6","2,5"
  Setembro,"0,9","2,7","2,7","2,1","1,8","1,6","2,4"
  Outubro,"0,9","2,5","2,5","2,0","1,8","1,6","2,5"
  Novembro,"1,0","2,7","2,5","1,9","1,8","1,7","2,4"
  Dezembro,"0,9","2,7","2,4","1,9","1,7","1,6","2,4"
2015,,,,,,,
  Janeiro,"0,9","2,8","2,4","1,9","1,8","1,7","2,4"
  Fevereiro,"0,9","2,6","2,5","2,0","1,8","1,7","2,5"
  Março,"0,9","2,6","2,9","2,0","1,7","1,7","2,4"
  Abril,"1,0","2,6","3,0","2,0","1,8","1,7","2,4"
