Unidade da Federação/Categoria Administrativa,Vagas Oferecidas Total Geral,Candidatos Inscritos Total Geral,Ingressos Total Geral,Vagas Oferecidas Universidades,Candidatos Inscritos Universidades,Ingressos Universidades,Vagas Oferecidas Centros Universitários,Candidatos Inscritos Centros Universitários,Ingressos Centros Universitários,Vagas Oferecidas Faculdades Integradas,Candidatos Inscritos Faculdades Integradas,Ingressos Faculdades Integradas,"Vagas Oferecidas Faculdades, Escolas e Institutos","Candidatos Inscritos Faculdades, Escolas e Institutos","Ingressos Faculdades, Escolas e Institutos",Vagas Oferecidas CET/FaT,Candidatos Inscritos CET/FaT,Ingressos CET/FaT
Centro-Oeste,  225.491 ,  499.337 ,  131.603 ,  83.965 ,  328.445 ,  60.985 ,  36.202 ,  36.358 ,  18.030 ,  18.472 ,  18.588 ,  9.408 ,  83.929 ,  106.620 ,  40.824 ,  2.923 ,  9.326 ,  2.356 
Pública,  30.867 ,  243.555 ,  29.338 ,  27.382 ,  229.337 ,  26.475 , - , - , - ,  500 ,  867 ,  423 ,  1.685 ,  5.525 ,  1.171 ,  1.300 ,  7.826 ,  1.269 
Federal,  16.061 ,  176.698 ,  15.732 ,  14.761 ,  168.872 ,  14.463 , - , - , - , - , - , - , - , - , - ,  1.300 ,  7.826 ,  1.269 
Estadual,  12.701 ,  64.272 ,  12.092 ,  12.621 ,  60.465 ,  12.012 , - , - , - , - , - , - ,  80 ,  3.807 ,  80 , - , - , - 
Municipal,  2.105 ,  2.585 ,  1.514 , - , - , - , - , - , - ,  500 ,  867 ,  423 ,  1.605 ,  1.718 ,  1.091 , - , - , - 
Privada,  194.624 ,  255.782 ,  102.265 ,  56.583 ,  99.108 ,  34.510 ,  36.202 ,  36.358 ,  18.030 ,  17.972 ,  17.721 ,  8.985 ,  82.244 ,  101.095 ,  39.653 ,  1.623 ,  1.500 ,  1.087 
Particular,  148.870 ,  178.042 ,  70.494 ,  22.404 ,  33.994 ,  9.222 ,  33.782 ,  33.356 ,  16.713 ,  17.972 ,  17.721 ,  8.985 ,  73.468 ,  91.801 ,  34.667 ,  1.244 ,  1.170 ,  907 
Comun/Confes/Filant,  45.754 ,  77.740 ,  31.771 ,  34.179 ,  65.114 ,  25.288 ,  2.420 ,  3.002 ,  1.317 , - , - , - ,  8.776 ,  9.294 ,  4.986 ,  379 ,  330 ,  180 
Mato Grosso do Sul,  30.889 ,  81.726 ,  21.296 ,  13.339 ,  63.261 ,  11.836 ,  4.382 ,  5.402 ,  3.108 ,  4.190 ,  3.814 ,  2.257 ,  8.978 ,  9.249 ,  4.095 , - , - , - 
Pública,  5.445 ,  41.000 ,  5.420 ,  5.445 ,  41.000 ,  5.420 , - , - , - , - , - , - , - , - , - , - , - , - 
Federal,  3.705 ,  30.339 ,  3.680 ,  3.705 ,  30.339 ,  3.680 , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual,  1.740 ,  10.661 ,  1.740 ,  1.740 ,  10.661 ,  1.740 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  25.444 ,  40.726 ,  15.876 ,  7.894 ,  22.261 ,  6.416 ,  4.382 ,  5.402 ,  3.108 ,  4.190 ,  3.814 ,  2.257 ,  8.978 ,  9.249 ,  4.095 , - , - , - 
Particular,  19.484 ,  31.965 ,  11.995 ,  3.804 ,  16.110 ,  3.804 ,  4.382 ,  5.402 ,  3.108 ,  4.190 ,  3.814 ,  2.257 ,  7.108 ,  6.639 ,  2.826 , - , - , - 
Comun/Confes/Filant,  5.960 ,  8.761 ,  3.881 ,  4.090 ,  6.151 ,  2.612 , - , - , - , - , - , - ,  1.870 ,  2.610 ,  1.269 , - , - , - 
Mato Grosso,  41.572 ,  84.855 ,  28.282 ,  15.680 ,  62.525 ,  13.847 ,  8.980 ,  6.073 ,  4.457 ,  3.792 ,  3.869 ,  2.238 ,  12.820 ,  11.211 ,  7.455 ,  300 ,  1.177 ,  285 
Pública,  7.920 ,  53.262 ,  7.828 ,  7.430 ,  51.726 ,  7.376 , - , - , - , - , - , - ,  190 ,  359 ,  167 ,  300 ,  1.177 ,  285 
Federal,  4.190 ,  32.649 ,  4.140 ,  3.890 ,  31.472 ,  3.855 , - , - , - , - , - , - , - , - , - ,  300 ,  1.177 ,  285 
Estadual,  3.540 ,  20.254 ,  3.521 ,  3.540 ,  20.254 ,  3.521 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  190 ,  359 ,  167 , - , - , - , - , - , - , - , - , - ,  190 ,  359 ,  167 , - , - , - 
Privada,  33.652 ,  31.593 ,  20.454 ,  8.250 ,  10.799 ,  6.471 ,  8.980 ,  6.073 ,  4.457 ,  3.792 ,  3.869 ,  2.238 ,  12.630 ,  10.852 ,  7.288 , - , - , - 
Particular,  24.577 ,  19.679 ,  13.465 , - , - , - ,  8.980 ,  6.073 ,  4.457 ,  3.792 ,  3.869 ,  2.238 ,  11.805 ,  9.737 ,  6.770 , - , - , - 
Comun/Confes/Filant,  9.075 ,  11.914 ,  6.989 ,  8.250 ,  10.799 ,  6.471 , - , - , - , - , - , - ,  825 ,  1.115 ,  518 , - , - , - 
Goiás,  77.368 ,  154.336 ,  45.860 ,  34.770 ,  102.201 ,  24.068 ,  5.240 ,  4.979 ,  2.431 ,  3.080 ,  2.591 ,  1.548 ,  32.184 ,  36.974 ,  16.062 ,  2.094 ,  7.591 ,  1.751 
Pública,  13.374 ,  66.786 ,  12.024 ,  10.459 ,  57.911 ,  9.693 , - , - , - ,  500 ,  867 ,  423 ,  1.415 ,  1.359 ,  924 ,  1.000 ,  6.649 ,  984 
Federal,  4.118 ,  35.010 ,  3.926 ,  3.118 ,  28.361 ,  2.942 , - , - , - , - , - , - , - , - , - ,  1.000 ,  6.649 ,  984 
Estadual,  7.341 ,  29.550 ,  6.751 ,  7.341 ,  29.550 ,  6.751 , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal,  1.915 ,  2.226 ,  1.347 , - , - , - , - , - , - ,  500 ,  867 ,  423 ,  1.415 ,  1.359 ,  924 , - , - , - 
Privada,  63.994 ,  87.550 ,  33.836 ,  24.311 ,  44.290 ,  14.375 ,  5.240 ,  4.979 ,  2.431 ,  2.580 ,  1.724 ,  1.125 ,  30.769 ,  35.615 ,  15.138 ,  1.094 ,  942 ,  767 
Particular,  41.627 ,  43.303 ,  18.207 ,  8.100 ,  5.790 ,  1.863 ,  2.820 ,  1.977 ,  1.114 ,  2.580 ,  1.724 ,  1.125 ,  27.033 ,  32.870 ,  13.338 ,  1.094 ,  942 ,  767 
Comun/Confes/Filant,  22.367 ,  44.247 ,  15.629 ,  16.211 ,  38.500 ,  12.512 ,  2.420 ,  3.002 ,  1.317 , - , - , - ,  3.736 ,  2.745 ,  1.800 , - , - , - 
Distrito Federal,  75.662 ,  178.420 ,  36.165 ,  20.176 ,  100.458 ,  11.234 ,  17.600 ,  19.904 ,  8.034 ,  7.410 ,  8.314 ,  3.365 ,  29.947 ,  49.186 ,  13.212 ,  529 ,  558 ,  320 
Pública,  4.128 ,  82.507 ,  4.066 ,  4.048 ,  78.700 ,  3.986 , - , - , - , - , - , - ,  80 ,  3.807 ,  80 , - , - , - 
Federal,  4.048 ,  78.700 ,  3.986 ,  4.048 ,  78.700 ,  3.986 , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual,  80 ,  3.807 ,  80 , - , - , - , - , - , - , - , - , - ,  80 ,  3.807 ,  80 , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  71.534 ,  95.913 ,  32.099 ,  16.128 ,  21.758 ,  7.248 ,  17.600 ,  19.904 ,  8.034 ,  7.410 ,  8.314 ,  3.365 ,  29.867 ,  45.379 ,  13.132 ,  529 ,  558 ,  320 
